"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1897055705661882733","Tue Mar 04 23:04:53 +0000 2025","1","@C_D3pp Iya cak... Bangsa ini selalu dlm musibah Baik dari pemerintah nya maupun dari bencana alam nya bagi saudara² kita yg terkena banjir semoga tabah dan ikhlas ","1897060707654611403","","C_D3pp","in","","0","1","0","https://x.com/Safa_Andriana/status/1897060707654611403","1432328670648037378","Safa_Andriana"
"1897060611642761477","Tue Mar 04 23:04:30 +0000 2025","1","Jakarta Bekasi dan sekitarnya banjir. Meneguhkan kpd kita semua bahwa tidak ragu lagi bahwa ibukota harus dipindah yaitu di IKN. Jabodetabek sdh berat menanggung beban. Beban ekologis lingkungan dan sosial. https://t.co/qW3qWjdVW8","1897060611642761477","https://pbs.twimg.com/media/GlO2kl6XwAAyaDt.jpg","","in","Banten, Indonesia","3","0","0","https://x.com/KWidiarso/status/1897060611642761477","2378651516","KWidiarso"
"1897060605036781659","Tue Mar 04 23:04:28 +0000 2025","0","Guys info dong arah polres masih gabisa dilewatin kah hari ini? #bekasi @txtdrbekasi #banjir https://t.co/88qf4a26Rk","1897060605036781659","https://pbs.twimg.com/media/GlO2kP8a4AEsA1m.jpg","","in","","0","0","0","https://x.com/calliodra/status/1897060605036781659","1823031880146685953","calliodra"
"1896927528411185652","Tue Mar 04 23:04:25 +0000 2025","0","@txttransportasi min kalau kanal banjir timur itukan fungsinya untuk nampung limpasan air hujan ya itu gacukup nampung atau salah perencanaan ya?","1897060590721569248","","txttransportasi","in","","0","1","0","https://x.com/headachead/status/1897060590721569248","1617342150009835524","headachead"
"1897046333145612719","Tue Mar 04 23:04:17 +0000 2025","0","@rameniest eh daerah lu banjir jg kh","1897060559981568383","","rameniest","in","sdh legal f4 potrait","0","1","0","https://x.com/moriarcrty/status/1897060559981568383","1113477859551535104","moriarcrty"
"1897060548472398313","Tue Mar 04 23:04:15 +0000 2025","8","Kena banjir Walikota Bekasi bersama keluarga mengungsi ke Hotel Horison. https://t.co/ZcieuzOkYQ https://t.co/IruNC8EraG","1897060548472398313","https://pbs.twimg.com/media/GlO2hAAbsAEwdgm.jpg","","in","","0","2","4","https://x.com/BrigitNamida/status/1897060548472398313","1358413157031575559","BrigitNamida"
"1897060543061746024","Tue Mar 04 23:04:13 +0000 2025","0","guys.. yang banjir ini uda pada mulai surut belum yaa..?","1897060543061746024","","","in","","0","1","0","https://x.com/sacypsaz/status/1897060543061746024","1896825700424060928","sacypsaz"
"1897060537558819057","Tue Mar 04 23:04:12 +0000 2025","16","Membantu sebisanya semampunya korban banjir di Tengerang @caknawa https://t.co/8gtNUNDw9B","1897060537558819057","https://pbs.twimg.com/ext_tw_video_thumb/1897060460593360896/pu/img/iLFdwkawl2CBmxyr.jpg","","in","Indonesia ","0","2","10","https://x.com/panca66/status/1897060537558819057","82042655","panca66"
"1897060516214006177","Tue Mar 04 23:04:07 +0000 2025","0","Banjir Jakarta Meluas jadi 114 RT Berikut Daftarnya https://t.co/dIKUYlKflQ","1897060516214006177","","","in","Indonesia","0","0","0","https://x.com/jpnncom/status/1897060516214006177","79130206","jpnncom"
"1896990825638453714","Tue Mar 04 23:04:03 +0000 2025","0","@txtdrbekasi duren jaya dirumah saya udah surut tadinya banjir sudah masuk melewati pintu pagar 2-5cm. pagi ini di jalanan rumah sudah ga ada genangan air lagi","1897060498635731210","","txtdrbekasi","in","dibawah kolong langit","0","1","0","https://x.com/han_N4y/status/1897060498635731210","713516592965881856","han_N4y"
"1897060491148857594","Tue Mar 04 23:04:01 +0000 2025","2","@txtdrbekasi pantauan Banjir Duta Kranji Bekasi sudah surut jadi akses dari Jln. Kalibaru menuju Kranji/bintara sudah bisa di lalui ya beks.... ","1897060491148857594","","txtdrbekasi","in","Jakarta","1","0","0","https://x.com/jualrumahbekasy/status/1897060491148857594","3255506437","jualrumahbekasy"
"1897060458097434967","Tue Mar 04 23:03:53 +0000 2025","0","Sejarah merekam banjir dan Bekasi menjadi sesuatu yang sulit untuk dipisahkan. #Riset #AdadiKompas https://t.co/yB3f6maeM5","1897060458097434967","","","in","Palmerah, Jakarta","0","0","0","https://x.com/KompasData/status/1897060458097434967","771030588","KompasData"
"1897060456541651187","Tue Mar 04 23:03:53 +0000 2025","0","liat banjir di bekasi jd bikin mikir kenapa bisa sefatal dan separah itu sih kerusakannya? waktu bangun-bangunin proyek AMDAL nya mana?? emg ga bikin daerah resapan air dan lahan konservatif kahh...","1897060456541651187","","","in","","0","0","0","https://x.com/cumabisacecil/status/1897060456541651187","1640981112431448064","cumabisacecil"
"1897060417496867141","Tue Mar 04 23:03:43 +0000 2025","0","banjir dimana mana yaa.. pasti ciledug (rumah gua dlu) keremdem..","1897060417496867141","","","in","rps - bittersweet","0","0","0","https://x.com/ssweet9yu/status/1897060417496867141","1883641300748283904","ssweet9yu"
